"X","개설년도","운영중인.점포.계...빈점포.","매장면적...","종사자.수.명.","주차.면수","용도지역_일반상업","용도지역_일반전용주거","용도지역_전용주거","용도지역_준전용주거","k_means_2","k_means_3","k_medoids_3","k_medoids_4","k_medoids_5","유동인구","시장명"
1,1973,90,5759,116,0,1,0,0,0,1,2,1,2,0,1876.75,"부산데파트상가"
7,1988,281,6132,400,0,1,0,0,0,1,0,1,2,2,912.5833333,"남포지하도상가"
9,1934,117,7626,370,8,1,0,0,0,1,0,1,2,2,900.916666666667,"남포동 건어물 도매시장"
11,1960,67,8920,102,0,1,0,0,0,1,2,1,2,0,2104.41666666667,"만물의거리시장(변동없음)"
13,2002,147,5958,224,40,1,0,0,0,1,0,1,2,2,1022.583333,"아리랑거리"
17,2018,37,4533,37,0,1,0,0,0,1,0,1,2,2,1139.416667,"홍도야 울지마라 거리"
23,1960,117,6413,117,0,1,0,0,0,1,0,1,2,2,1237.25,"수정전통시장"
24,1960,156,9619,230,0,1,0,0,0,1,0,1,2,2,1443,"초량전통시장"
29,1972,200,2792,450,51,1,0,0,0,1,0,1,2,2,1281.833333,"서면시장"
30,1975,398,1631,488,0,1,0,0,0,1,0,1,2,2,990.3333333,"부전시장"
31,1978,61,1276,80,0,1,0,0,0,1,0,1,2,2,990.3333333,"부전인삼시장"
42,1985,331,10210,510,0,1,0,0,0,1,0,1,2,2,1485,"부전농수산물새벽시장"
45,1973,115,4852,115,0,0,0,0,1,1,2,1,2,2,1787.583333,"당감골목시장"
48,2007,133,6676,133,0,1,0,0,0,1,0,1,2,2,1178.083333,"당감새시장"
50,2012,83,4799,83,0,0,0,0,1,1,0,1,2,2,999.5,"연지시장"
