,구별인덱스,시장명,유동인구,소재지,주 판매상품,개설년도,운영중인 점포(계 - 빈점포),용도지역, 매장면적(㎡) ,종사자 수(명),주차 면수,지역구_동구,지역구_부산진구,지역구_중구,주 판매상품_수산물,주 판매상품_건강식품,주 판매상품_잡화,주 판매상품_의류,주 판매상품_가구,주 판매상품_문구,주 판매상품_전기,주 판매상품_청과물,주 판매상품_생활용품,주 판매상품_농산물,주 판매상품_식품,주 판매상품_예술품,주 판매상품_기타,주 판매상품_꽃,주 판매상품_축산물,주 판매상품_귀금속
0,1,자갈치시장,NaN,자갈치해안로 52,['수산물'],1970,272,일반상업,3576,1500,161,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,부산데파트상가,1876.75,부산시 중구 중앙대로21,"['건강식품', '잡화']",1973,90,일반상업,5759,116,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,영주시장,600.1666667,대영로242번길 3,['잡화'],1973,22,일반상업,1100,42,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,국제시장,2558.333333,중구로 42,"['의류', '가구', '문구']",1948,482,일반상업,9497,871,29,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
4,5,창선상가,659.5833333,국제시장2길 5,['전기'],1948,144,일반상업,3892,442,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,6,보수종합시장,231.4166667,보수대로 94,"['청과물', '문구']",1978,117,일반상업,4725,138,10,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
6,7,신천지시장,416.1666667,자갈치로 33,"['의류', '생활용품']",1980,147,일반상업,11527,200,120,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
7,8," 신동아수산물
종합시장",714.25,"부산시 중구 
자갈치로 42",['수산물'],1987,385,일반상업지역,7652.28,258,130,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,9,남포지하도상가,912.5833333,구덕로 지하 44,"['의류', '잡화']",1988,281,일반상업,6132,400,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
9,10,광복지하도상가,NaN,중앙대로 지하 17,"['의류', '잡화']",1988,211,일반상업,9148,179,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
10,11,월드밸리,NaN,대청로 60,['잡화'],1995,215,일반상업,9584,145,108,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,12,남포동 건어물 도매시장,NaN,구덕로 19-1(남포동4가),['수산물'],1934,117,일반상업,7626,370,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
