,클러스터,시장명,가게명,가게 종류,지역구,가게 주소,가게 위치(위도),가게 위치(경도),주자창 여부,주차장 주소,주차장 위치(위도),주차장 위치(경도),버스정류장,지하철,지금 몇 명 가는지,인스타 검색어,인스타 게시물 수,위도경도,dist_현재위치,dist_추천식당,dist_추천장소
0,0,국제시장,국제시장,시장,중구,부산광역시 중구 국제시장2길,35.101033,129.029124,유,부산 중구 중구로 32 국제시장5공구,35.101216,129.027941,중구청.메리놀병원,자갈치역 7번 출구,0,국제시장,263000,"(35.101033, 129.029124)",0.783152160273448,0.17871214069657834,0.2752698593804985
1,0,국제시장,대정양 곱창,식당,중구,부산 중구 중구로23번길 31,35.100036,129.026109,유,부산 중구 중구로 32 국제시장5공구,35.101216,129.027941,자갈치역.비프광장,자갈치역 7번 출구,0,대정양 곱창,15000,"(35.100036, 129.026109)",1.0763287532043906,0.4680292439134917,0.3645985772934037
2,0,국제시장,꽃분이네,패션잡화,중구,부산 중구 중구로 42 국제시장3공구,35.101412,129.028315,유,부산 중구 중구로 32 국제시장5공구,35.101216,129.027941,중구청.메리놀병원,자갈치역 7번 출구,0,꽃분이네,35000,"(35.101412, 129.028315)",0.8473675491905003,0.2208578424107164,0.20379641149361735
3,0,국제시장,개미집,식당,중구,부산 중구 중구로30번길 22,25.100574,129.030138,유,부산 중구 중구로 32 국제시장5공구,35.101216,129.027941,자갈치역.비프광장,자갈치역 7번 출구,0,개미집,2356,"(25.100574, 129.030138)",1112.1778654310451,1112.1205980760433,1112.2333781218465
4,0,부평깡통시장,부평깡통시장,시장,중구,부산 중구 부평1길,35.101811,129.026518,유,부산 중구 흑교로 34,35.102468,129.025641,부평시장,자갈치역 3번 출구,0,부평깡통시장,33000,"(35.101811, 129.026518)",1.0042119174417834,0.37202028885206734,0.16969146608470817
5,0,부평깡통시장,깡돼후,식당,중구,부산 중구 부평1길 57 깡돼후야시장,35.102032,129.025826,유,부산 중구 흑교로 34,35.102468,129.025641,부평시장,자갈치역 3번 출구,0,깡돼후,2750,"(35.102032, 129.025826)",1.065153231350817,0.4336400384060555,0.193220721611891
6,0,부평깡통시장,밀양집,식당,중구,부산 중구 중구로47번길 35,35.102199,129.025979,유,부산 중구 흑교로 34,35.102468,129.025641,부평시장,자갈치역 3번 출구,0,밀양집,1452,"(35.102199, 129.025979)",1.0502799607563185,0.4197944835907498,0.17086254378625582
7,0,부평깡통시장,이가네떡볶이,식당,중구,부산 중구 부평1길 48,35.101509,129.026029,유,부산 중구 흑교로 34,35.102468,129.025641,부평시장,자갈치역 3번 출구,0,이가네떡볶이,29000,"(35.101509, 129.026029)",1.0519222016366734,0.4202932398619043,0.2224478556983414
8,0,부산자갈치시장,부산자갈치시장,시장,중구,부산 중구 자갈치해안로 52 자갈치시장,35.096655,129.030755,유,부산 중구 구덕로 44 남포지하도상가,35.096931,129.030737,남포동,자갈치역 10번 출구,0,자갈치시장,186000,"(35.096655, 129.030755)",0.9039032476210123,0.6057499419034568,0.777414762043417
9,0,부산자갈치시장,부산명물횟집,식당,중구,부산 중구 자갈치해안로 55,35.097116,129.03122,유,부산 중구 구덕로 44 남포지하도상가,35.096931,129.030737,남포동,자갈치역 10번 출구,0,부산명물횟집,2940,"(35.097116, 129.03122)",0.8375605851206455,0.557243978995386,0.7485322483688565
10,0,부산자갈치시장,승기씨앗호떡,노점,중구,부산 중구 비프광장로 36,35.098833,129.028992,유,부산 중구 구덕로 44 남포지하도상가,35.096931,129.030737,자갈치역.비프광장,자갈치역 7번 출구,0,승기씨앗호떡,1286,"(35.098833, 129.028992)",0.8818566670236526,0.3914538885914991,0.49543148870863835
